t=2026-06-14T14:48:39+0000 lvl=info msg="command usage" msg="Flag --domain has been deprecated, use --url instead"
t=2026-06-14T14:48:39+0000 lvl=info msg="no configuration paths supplied"
t=2026-06-14T14:48:39+0000 lvl=info msg="using configuration at default config path" path=/root/.config/ngrok/ngrok.yml
t=2026-06-14T14:48:39+0000 lvl=info msg="open config file" path=/root/.config/ngrok/ngrok.yml err=nil
t=2026-06-14T14:48:39+0000 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-14T14:48:39+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-14T14:48:39+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-14T14:48:39+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-14T15:33:48+0000 lvl=info msg="join connections" obj=join id=4921cc433b31 l=127.0.0.1:8000 r=34.12.125.176:52454
t=2026-06-14T15:34:08+0000 lvl=info msg="join connections" obj=join id=d685d81fdd11 l=127.0.0.1:8000 r=34.12.125.176:54288
t=2026-06-14T15:34:28+0000 lvl=info msg="join connections" obj=join id=cc022df36d6f l=127.0.0.1:8000 r=34.12.125.176:49578
t=2026-06-14T15:34:48+0000 lvl=info msg="join connections" obj=join id=35a32ec873ee l=127.0.0.1:8000 r=34.12.125.176:50374
t=2026-06-14T15:35:08+0000 lvl=info msg="join connections" obj=join id=d2bcdc084034 l=127.0.0.1:8000 r=34.12.125.176:48738
t=2026-06-14T15:35:28+0000 lvl=info msg="join connections" obj=join id=0b23e89cc49f l=127.0.0.1:8000 r=34.12.125.176:48790
t=2026-06-14T15:35:49+0000 lvl=info msg="join connections" obj=join id=f3f0d4546f19 l=127.0.0.1:8000 r=34.12.125.176:43952
t=2026-06-14T15:36:09+0000 lvl=info msg="join connections" obj=join id=c6b45495c76c l=127.0.0.1:8000 r=34.12.125.176:57988
t=2026-06-14T15:36:29+0000 lvl=info msg="join connections" obj=join id=d5e52d5167b0 l=127.0.0.1:8000 r=34.12.125.176:41126
t=2026-06-14T15:36:44+0000 lvl=info msg="join connections" obj=join id=a861b8388694 l=127.0.0.1:8000 r=[2405:4802:9191:bb30:a8f5:7699:189e:b83c]:55874
t=2026-06-14T15:36:49+0000 lvl=info msg="join connections" obj=join id=b82f047660d8 l=127.0.0.1:8000 r=34.12.125.176:40710
t=2026-06-14T15:37:09+0000 lvl=info msg="join connections" obj=join id=796760306628 l=127.0.0.1:8000 r=34.12.125.176:53206
t=2026-06-14T15:37:29+0000 lvl=info msg="join connections" obj=join id=bc5e5dab386b l=127.0.0.1:8000 r=34.12.125.176:37734
t=2026-06-14T15:37:49+0000 lvl=info msg="join connections" obj=join id=41a0856330fb l=127.0.0.1:8000 r=34.12.125.176:59040
t=2026-06-14T15:38:10+0000 lvl=info msg="join connections" obj=join id=2f93a228b82a l=127.0.0.1:8000 r=34.12.125.176:60168
t=2026-06-14T15:38:30+0000 lvl=info msg="join connections" obj=join id=94cb0c059096 l=127.0.0.1:8000 r=34.12.125.176:45376
t=2026-06-14T15:38:50+0000 lvl=info msg="join connections" obj=join id=80a9bcc1dd0c l=127.0.0.1:8000 r=34.12.125.176:47370
t=2026-06-14T15:39:10+0000 lvl=info msg="join connections" obj=join id=c33ad1233099 l=127.0.0.1:8000 r=34.12.125.176:60582
